No of threads,latency_MSQueue,latency_Twolockqueue
1,133.728,145.604
3,243.711,294.632
5,261.971,456.628
7,290.156,509.586
9,303.436,513.656
11,265.225,520.354
13,267.022,596.044
15,271.325,621.04
17,274.063,581.191
19,267.046,514.346
21,261.809,525.408
23,281.258,511.224
25,285.065,500.836
27,289.358,510.01
29,312.069,507.46
31,327.561,510.771
33,303.173,490.28
35,305.751,488.018
37,304.929,508.241
39,310.154,489.458
41,292.497,514.994
43,282.418,529.101
45,276.848,509.709
47,277.867,564.332
49,284.687,497.932
